occode,occ_name
1,"POST OFFICE - TELEGRAPHISTS, TELEPHONE OPERATORS"
2,"OTHER POST OFFICE OFFICERS AND CLERKS"
3,"POSTMEN"
4,"POST OFFICE MESSENGERS, ETC"
5,"MPs, MINISTERS OF THE CROWN & PEERS"
6,"OTHER CIVIL SERVICE OFFICERS AND CLERKS"
7,"PRISON OFFICERS"
8,"SENIOR OFFIALS AND OTHERS IN EAST INDIA SERVICE"
9,"OTHER CIVIL SERVICE MESSENGERS, ETC. (INC PORTERS),"
10,"PRISON SERVICE MESSENGERS, ETC.,"
11,"POLICE"
12,"POOR LAW SERVICE"
13,"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY OFFICERS"
14,"MUNICIPAL, PARISH, AND  LOCAL OR COUNTY SHERIFFS AND CLERKS"
15,"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY WORKERS"
16,"LIBRARIANS"
17,"ARMY OFFICERS (EFFECTIVE)"
18,"MILITIA & YEOMANRY OFFICERS (EFFECTIVE)"
19,"ARMY OFFICERS (RETIRED)"
20,"SOLDIERS AND NON-COMMISSIONED OFFICERS"
21,"MILITIA & YEOMANRY MEN"
22,"OFFICERS OF THE NAVY (EFFECTIVE)"
23,"OFFICERS OF THE NAVY (RETIRED)"
24,"MEN OF THE NAVY (INC COASTGUARDS)"
25,"OFFICERS OF THE MARINES (EFFECTIVE)"
26,"OFFICERS OF THE MARINES (RETIRED)"
27,"MEN OF THE MARINES"
28,"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN SCOTLAND)"
29,"ROMAN CATHOLIC PRIEST"
30,"MINISTER, PRIEST, OF UNITED FREE CHURCH"
31,"MINISTER, PRIEST, OF EPISCOPALIAN CHURCH IN SCOTLAND"
32,"MINISTER, PRIEST, OF UNITED PRESBYTERIAN CHURCH"
33,"MINISTER, PRIEST, OF OTHER RELIGIOUS BODIES"
34,"ITINERANT PREACHER, SCRIPTURE READER, MISSION WORKER"
35,"MONKS"
36,"NUN, SISTER OF CHARITY"
37,"CHURCH, CHAPEL, CEMETERY--OFFICER, ETC."
38,"BARRISTER, ADVOCATE"
39,"SOLICITOR"
40,"LAW CLERK"
41,"OTHERS CONNECTED WITH LAW"
42,"PHYSICIAN, SUGEON, REGISTERED PRACTITIONER, INCLUDING POOR LAW HOSPITALS DOCTORS ETC"
43,"DENTISTS AND DENTISTS ASSISTANTS"
44,"VETERINARY SURGEONS"
45,"MIDWIVES"
46,"NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES"
47,"HOSPITAL SICK NURSES"
